src_host,dst_host,avg_rtt_ms,packet_loss_pct
h1,h39,95.491,0
h1,h2,109.737,0
h1,h3,96.584,0
h1,h4,100.404,0
h1,h5,110.904,0
h1,h6,99.030,0
h1,h7,103.409,0
h1,h8,104.785,0
h1,h9,100.907,0
h1,h10,102.722,0
h1,h11,105.330,0
h1,h12,94.218,0
h1,h13,97.326,0
h1,h14,91.959,0
h1,h15,96.864,0
h1,h16,95.963,0
h1,h17,97.150,0
h1,h18,96.766,0
h1,h19,105.986,0
h1,h20,104.955,0
h1,h21,105.017,0
h1,h22,97.561,0
h1,h23,117.172,0
h1,h24,98.729,0
h1,h25,95.157,0
h1,h26,95.762,0
h1,h27,98.820,0
h1,h28,100.854,0
h1,h29,106.228,0
h1,h30,103.867,0
h1,h31,96.932,0
h1,h32,92.111,0
h1,h33,97.544,0
h1,h34,102.016,0
h1,h35,101.260,0
h1,h36,99.632,0
h1,h37,98.640,0
h1,h38,95.397,0
h1,h39,94.809,0
h1,h2,97.028,0
h1,h3,101.402,0
h1,h4,99.891,0
h1,h5,101.367,0
h1,h6,95.345,0
h1,h7,104.682,0
h1,h8,102.099,0
h1,h9,101.261,0
h1,h10,107.123,0
h1,h11,103.383,0
h1,h12,97.017,0
h1,h13,102.656,0
h1,h14,105.069,0
h1,h15,103.333,0
h1,h16,102.019,0
h1,h17,104.158,0
h1,h18,98.196,0
h1,h19,103.562,0
h1,h20,106.137,0
h1,h21,105.551,0
h1,h22,99.236,0
h1,h23,104.662,0
h1,h24,104.410,0
h1,h25,101.735,0
h1,h26,102.248,0
h1,h27,100.389,0
h1,h28,99.699,0
h1,h29,106.269,0
h1,h30,104.112,0
h1,h31,101.261,0
h1,h32,100.897,0
h1,h33,108.108,0
h1,h34,96.950,0
h1,h35,94.890,0
h1,h36,100.729,0
h1,h37,95.300,0
h1,h38,98.369,0
h1,h39,112.358,0
h1,h2,86.873,0
h1,h3,83.260,0
h1,h4,82.194,0
h1,h5,91.071,0
h1,h6,93.989,0
h1,h7,97.054,0
h1,h8,94.168,0
h1,h9,96.733,0
h1,h10,91.980,0
h1,h11,91.386,0
